gallery_restaurant_id,restaurant_id,gallery_restaurant_name,gallery_restaurant_image,gallery_restaurant_content,created_at,updated_at
4,1,33360729036316693870531965559916984775079003n-9633,33360729036316693870531965559916984775079003n-963338.jpeg,Ảnh này chưa có nội dung !,2024-10-15 17:07:49,2024-10-15 17:07:49
5,1,33494935610193821825472191278423870453619842n-5743,33494935610193821825472191278423870453619842n-574332.jpeg,Ảnh này chưa có nội dung !,2024-10-15 17:08:42,2024-10-15 17:08:42
6,1,3349505787385489513136353647203604490792204n-1387,3349505787385489513136353647203604490792204n-138717.jpeg,Ảnh này chưa có nội dung !,2024-10-15 17:08:42,2024-10-15 17:08:42
7,1,3711242912678660261596242252007157801576040n-6246,3711242912678660261596242252007157801576040n-624689.jpg,Ảnh này chưa có nội dung !,2024-10-15 17:08:42,2024-10-15 17:08:42
8,1,4346740684003440362451557391267983005745702n-7273,4346740684003440362451557391267983005745702n-727352.jpg,Ảnh này chưa có nội dung !,2024-10-15 17:22:29,2024-10-15 17:22:29
9,1,img077a-9898,img077a-989861.jpg,Ảnh này chưa có nội dung !,2024-10-15 17:22:29,2024-10-15 17:22:29
10,1,z52987754353988316088990a8b19a3a6bc4951a683c52-7472,z52987754353988316088990a8b19a3a6bc4951a683c52-747225.jpg,Ảnh này chưa có nội dung !,2024-10-15 17:22:29,2024-10-15 17:22:29
11,4,2024-05-21,2024-05-2160.jpg,Ảnh này chưa có nội dung !,2024-10-15 17:41:33,2024-10-15 17:41:33
12,4,449827642_122155174514222726_6412376102903227455_n,449827642_122155174514222726_6412376102903227455_n62.jpg,Ảnh này chưa có nội dung !,2024-10-15 17:41:33,2024-10-15 17:41:33
13,4,caption,caption96.jpg,Ảnh này chưa có nội dung !,2024-10-15 17:41:33,2024-10-15 17:41:33
14,4,img077a-9898,img077a-989819.jpg,Ảnh này chưa có nội dung !,2024-10-15 17:41:33,2024-10-15 17:41:33
15,4,thia-go-restaurant-da-nang,thia-go-restaurant-da-nang58.png,Ảnh này chưa có nội dung !,2024-10-15 17:41:33,2024-10-15 17:41:33
16,4,z52987754353988316088990a8b19a3a6bc4951a683c52-7472,z52987754353988316088990a8b19a3a6bc4951a683c52-747292.jpg,Ảnh này chưa có nội dung !,2024-10-15 17:41:33,2024-10-15 17:41:33
17,5,Screenshot_16-10-2024_0459_cabanonpalace,Screenshot_16-10-2024_0459_cabanonpalace35.jpeg,Ảnh này chưa có nội dung !,2024-10-15 17:55:18,2024-10-15 17:55:18
18,5,Screenshot_16-10-2024_0464_cabanonpalace,Screenshot_16-10-2024_0464_cabanonpalace69.jpeg,Ảnh này chưa có nội dung !,2024-10-15 17:55:18,2024-10-15 17:55:18
19,5,Screenshot_16-10-2024_04534_cabanonpalace,Screenshot_16-10-2024_04534_cabanonpalace46.jpeg,Ảnh này chưa có nội dung !,2024-10-15 17:55:18,2024-10-15 17:55:18
20,5,Screenshot_16-10-2024_04547_cabanonpalace,Screenshot_16-10-2024_04547_cabanonpalace56.jpeg,Ảnh này chưa có nội dung !,2024-10-15 17:55:18,2024-10-15 17:55:18
21,5,Screenshot_16-10-2024_04615_cabanonpalace,Screenshot_16-10-2024_04615_cabanonpalace29.jpeg,Ảnh này chưa có nội dung !,2024-10-15 17:55:18,2024-10-15 17:55:18
22,6,home-tmk-banner,home-tmk-banner88.png,Ảnh này chưa có nội dung !,2024-10-16 14:06:12,2024-10-16 14:06:12
23,6,279111200_1947513572122955_454290677711266898_n,279111200_1947513572122955_454290677711266898_n87.jpg,Ảnh này chưa có nội dung !,2024-10-16 14:07:40,2024-10-16 14:07:40
24,6,OIP,OIP70.jpg,Ảnh này chưa có nội dung !,2024-10-16 14:08:00,2024-10-16 14:08:00
25,6,R,R98.jpg,Ảnh này chưa có nội dung !,2024-10-16 14:08:00,2024-10-16 14:08:00
26,7,279111200_1947513572122955_454290677711266898_n,279111200_1947513572122955_454290677711266898_n23.jpg,Ảnh này chưa có nội dung !,2024-10-16 14:18:19,2024-10-16 14:18:19
27,7,463283449_122186356832085079_5135685110275125858_n,463283449_122186356832085079_5135685110275125858_n40.jpg,Ảnh này chưa có nội dung !,2024-10-16 14:18:19,2024-10-16 14:18:19
28,7,463597371_122186356826085079_6792514180605106207_n,463597371_122186356826085079_6792514180605106207_n15.jpg,Ảnh này chưa có nội dung !,2024-10-16 14:18:19,2024-10-16 14:18:19
29,7,Screenshot_16-10-2024_211315_docs,Screenshot_16-10-2024_211315_docs4.jpeg,Ảnh này chưa có nội dung !,2024-10-16 14:18:19,2024-10-16 14:18:19
30,8,222309-mdl-am-thuc-web,222309-mdl-am-thuc-web1.jpg,Ảnh này chưa có nội dung !,2024-10-16 14:53:16,2024-10-16 14:53:16
31,8,222309-mdl-con-nguoi-2-web,222309-mdl-con-nguoi-2-web51.jpg,Ảnh này chưa có nội dung !,2024-10-16 14:53:16,2024-10-16 14:53:16
32,8,222309-mdl-khong-gian-web,222309-mdl-khong-gian-web17.jpg,Ảnh này chưa có nội dung !,2024-10-16 14:53:16,2024-10-16 14:53:16
33,8,3349505787385489513136353647203604490792204n-1387,3349505787385489513136353647203604490792204n-13878.jpeg,Ảnh này chưa có nội dung !,2024-10-16 14:53:16,2024-10-16 14:53:16
34,8,itgFCtWs7qxMu3guIelui24byjILxYIh,itgFCtWs7qxMu3guIelui24byjILxYIh48.jpg,Ảnh này chưa có nội dung !,2024-10-16 14:53:16,2024-10-16 14:53:16
35,8,Screenshot_16-10-2024_213833_docs,Screenshot_16-10-2024_213833_docs53.jpeg,Ảnh này chưa có nội dung !,2024-10-16 14:53:16,2024-10-16 14:53:16
36,9,2f45eefa-2d1a-4721-91c3-ed3dd6fec6b0,2f45eefa-2d1a-4721-91c3-ed3dd6fec6b098.jpg,Ảnh này chưa có nội dung !,2024-10-16 15:11:27,2024-10-16 15:11:27
37,9,8ba7b422-f0c5-46be-ae90-86744436aa2b,8ba7b422-f0c5-46be-ae90-86744436aa2b84.jpg,Ảnh này chưa có nội dung !,2024-10-16 15:11:27,2024-10-16 15:11:27
38,9,364b52d9-0659-4744-b796-e0c29a038e43,364b52d9-0659-4744-b796-e0c29a038e4386.jpg,Ảnh này chưa có nội dung !,2024-10-16 15:11:27,2024-10-16 15:11:27
39,9,rhCErsjS5hsz6Ah5MB1Q0cBeB80EggIG,rhCErsjS5hsz6Ah5MB1Q0cBeB80EggIG21.jpg,Ảnh này chưa có nội dung !,2024-10-16 15:11:27,2024-10-16 15:11:27
40,9,Screenshot_16-10-2024_215531_docs,Screenshot_16-10-2024_215531_docs97.jpeg,Ảnh này chưa có nội dung !,2024-10-16 15:11:27,2024-10-16 15:11:27
